query,method,precision_at_5,recall_at_5,latency_ms,retrieved_ids,gt_ids
What is the minimum GPA requirement?,TFIDF,1.0000,1.0000,0.3319,"[21, 10, 36, 22, 28]","[21, 10, 36, 22, 28]"
What happens if a student fails a course?,TFIDF,1.0000,1.0000,0.3031,"[27, 14, 24, 31, 30]","[27, 14, 24, 31, 30]"
What is the attendance policy?,TFIDF,1.0000,1.0000,0.3139,"[6, 22, 23, 28, 13]","[6, 22, 23, 28, 13]"
How many times can a course be repeated?,TFIDF,1.0000,1.0000,0.3021,"[14, 27, 17, 24, 31]","[14, 27, 17, 24, 31]"
What is the minimum CGPA required to graduate?,TFIDF,1.0000,1.0000,0.3368,"[34, 21, 14, 24, 22]","[34, 21, 14, 24, 22]"
What are the requirements for degree completion?,TFIDF,1.0000,1.0000,0.3229,"[34, 25, 31, 15, 13]","[34, 25, 31, 15, 13]"
How is CGPA calculated?,TFIDF,1.0000,1.0000,0.3280,"[14, 34, 24, 32, 30]","[14, 34, 24, 32, 30]"
What is the policy for academic probation?,TFIDF,1.0000,1.0000,0.3283,"[12, 28, 22, 23, 21]","[12, 28, 22, 23, 21]"
Can a student defer their semester?,TFIDF,1.0000,1.0000,0.3467,"[31, 27, 25, 20, 36]","[31, 27, 25, 20, 36]"
What is the grading scheme at NUST?,TFIDF,1.0000,1.0000,0.3087,"[8, 16, 6, 13, 22]","[8, 16, 6, 13, 22]"
What happens if a student gets an F grade?,TFIDF,1.0000,1.0000,0.3217,"[14, 27, 30, 17, 24]","[14, 27, 30, 17, 24]"
How can a student change their programme?,TFIDF,1.0000,1.0000,0.3245,"[33, 35, 36, 56, 23]","[33, 35, 36, 56, 23]"
What is the minimum GPA requirement?,MINHASH,0.4000,0.4000,0.3576,"[27, 10, 20, 21, 26]","[21, 10, 36, 22, 28]"
What happens if a student fails a course?,MINHASH,0.8000,0.8000,0.3394,"[14, 30, 27, 24, 9]","[27, 14, 24, 31, 30]"
What is the attendance policy?,MINHASH,0.6000,0.6000,0.1243,"[13, 41, 29, 6, 23]","[6, 22, 23, 28, 13]"
How many times can a course be repeated?,MINHASH,0.6000,0.6000,0.3616,"[14, 30, 18, 24, 31]","[14, 27, 17, 24, 31]"
What is the minimum CGPA required to graduate?,MINHASH,0.4000,0.4000,0.3591,"[34, 27, 10, 21, 18]","[34, 21, 14, 24, 22]"
What are the requirements for degree completion?,MINHASH,0.0000,0.0000,0.1473,[64],"[34, 25, 31, 15, 13]"
How is CGPA calculated?,MINHASH,0.6000,0.6000,0.3180,"[34, 32, 28, 12, 14]","[14, 34, 24, 32, 30]"
What is the policy for academic probation?,MINHASH,0.8000,0.8000,0.3271,"[28, 12, 69, 22, 21]","[12, 28, 22, 23, 21]"
Can a student defer their semester?,MINHASH,0.2000,0.2000,0.3078,"[31, 43, 40, 6, 35]","[31, 27, 25, 20, 36]"
What is the grading scheme at NUST?,MINHASH,0.4000,0.4000,0.3202,"[69, 19, 26, 16, 8]","[8, 16, 6, 13, 22]"
What happens if a student gets an F grade?,MINHASH,0.0000,0.0000,0.1801,"[40, 16, 46]","[14, 27, 30, 17, 24]"
How can a student change their programme?,MINHASH,0.2000,0.2000,0.1523,"[56, 45, 1]","[33, 35, 36, 56, 23]"
What is the minimum GPA requirement?,SIMHASH,0.2000,0.2000,0.4051,"[27, 37, 20, 10, 8]","[21, 10, 36, 22, 28]"
What happens if a student fails a course?,SIMHASH,0.8000,0.8000,0.3734,"[37, 27, 14, 30, 24]","[27, 14, 24, 31, 30]"
What is the attendance policy?,SIMHASH,0.4000,0.4000,0.3816,"[37, 13, 29, 23, 26]","[6, 22, 23, 28, 13]"
How many times can a course be repeated?,SIMHASH,0.4000,0.4000,0.4269,"[14, 49, 30, 38, 24]","[14, 27, 17, 24, 31]"
What is the minimum CGPA required to graduate?,SIMHASH,0.4000,0.4000,0.4089,"[34, 37, 27, 10, 21]","[34, 21, 14, 24, 22]"
What are the requirements for degree completion?,SIMHASH,0.6000,0.6000,0.3951,"[31, 25, 15, 24, 5]","[34, 25, 31, 15, 13]"
How is CGPA calculated?,SIMHASH,0.4000,0.4000,0.3875,"[34, 32, 49, 38, 28]","[14, 34, 24, 32, 30]"
What is the policy for academic probation?,SIMHASH,0.8000,0.8000,0.4142,"[28, 12, 22, 23, 37]","[12, 28, 22, 23, 21]"
Can a student defer their semester?,SIMHASH,0.4000,0.4000,0.3947,"[31, 25, 15, 43, 40]","[31, 27, 25, 20, 36]"
What is the grading scheme at NUST?,SIMHASH,0.2000,0.2000,0.4072,"[19, 26, 8, 17, 37]","[8, 16, 6, 13, 22]"
What happens if a student gets an F grade?,SIMHASH,0.6000,0.6000,0.4100,"[37, 27, 14, 30, 31]","[14, 27, 30, 17, 24]"
How can a student change their programme?,SIMHASH,0.4000,0.4000,0.3757,"[56, 49, 68, 33, 38]","[33, 35, 36, 56, 23]"
